بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
فَبِمَا نَقْضِهِم مِّيثَاقَهُمْ وَكُفْرِهِم بِآيَاتِ اللَّٰهِ وَقَتْلِهِمُ الْأَنبِيَاءَ بِغَيْرِ حَقٍّ وَقَوْلِهِمْ قُلُوبُنَا غُلْفٌ ۚ بَلْ طَبَعَ اللَّٰهُ عَلَيْهَا بِكُفْرِهِمْ فَلَا يُؤْمِنُونَ إِلَّا قَلِيلًا || fa bi maa <space> na q dˤi hi m <space> m mii θaa qa hu m <space> wa ku f ri hi m <space> bi ʔaa yaa ti <space> <wasl> l laa hi <space> wa qa t li hi mu <space> <wasl> l ʔa n bi yaa ʔa <space> bi ɣa y ri <space> ħa q qin <space> wa qa w li hi m <space> qu luu bu naa <space> ɣu l fun <space> ba l <space> tˤa ba ʕa <space> <wasl> l laa hu <space> ʕa la y haa <space> bi ku f ri hi m <space> fa laa <space> yu ʔ mi nuu na <space> ʔi l laa <space> qa lii lan
وَبِكُفْرِهِمْ وَقَوْلِهِمْ عَلَىٰ مَرْيَمَ بُهْتَانًا عَظِيمًا || wa bi ku f ri hi m <space> wa qa w li hi m <space> ʕa laa <space> ma r ya ma <space> bu h taa nan <space> ʕa ðˤii man
وَقَوْلِهِمْ إِنَّا قَتَلْنَا الْمَسِيحَ عِيسَى ابْنَ مَرْيَمَ رَسُولَ اللَّٰهِ وَمَا قَتَلُوهُ وَمَا صَلَبُوهُ وَلَـٰكِن شُبِّهَ لَهُمْ ۚ وَإِنَّ الَّذِينَ اخْتَلَفُوا فِيهِ لَفِي شَكٍّ مِّنْهُ ۚ مَا لَهُم بِهِ مِنْ عِلْمٍ إِلَّا اتِّبَاعَ الظَّنِّ ۚ وَمَا قَتَلُوهُ يَقِينًا || wa qa w li hi m <space> ʔi n naa <space> qa ta l naa <space> <wasl> l ma sii ħa <space> ʕii saa <space> <wasl> b na <space> ma r ya ma <space> ra suu la <space> <wasl> l laa hi <space> wa maa <space> qa ta luu hu <space> wa maa <space> sˤa la buu hu <space> wa laa ki n <space> ʃu b bi ha <space> la hu m <space> wa ʔi n na <space> <wasl> l la ðii na <space> <wasl> x ta la fuu <space> fii hi <space> la fii <space> ʃa k kin <space> m mi n hu <space> maa <space> la hu m <space> bi hii <space> mi n <space> ʕi l min <space> ʔi l laa <space> <wasl> t ti baa ʕa <space> <wasl> ðˤ ðˤa n ni <space> wa maa <space> qa ta luu hu <space> ya qii nan
بَل رَّفَعَهُ اللَّٰهُ إِلَيْهِ ۚ وَكَانَ اللَّٰهُ عَزِيزًا حَكِيمًا || ba l <space> r ra fa ʕa hu <space> <wasl> l laa hu <space> ʔi la y hi <space> wa kaa na <space> <wasl> l laa hu <space> ʕa zii zan <space> ħa kii man
وَإِن مِّنْ أَهْلِ الْكِتَابِ إِلَّا لَيُؤْمِنَنَّ بِهِ قَبْلَ مَوْتِهِ ۖ وَيَوْمَ الْقِيَامَةِ يَكُونُ عَلَيْهِمْ شَهِيدًا || wa ʔi n <space> m mi n <space> ʔa h li <space> <wasl> l ki taa bi <space> ʔi l laa <space> la yu ʔ mi na n na <space> bi hii <space> qa b la <space> ma w ti hii <space> wa ya w ma <space> <wasl> l qi yaa ma Ti <space> ya kuu nu <space> ʕa la y hi m <space> ʃa hii dan
فَبِظُلْمٍ مِّنَ الَّذِينَ هَادُوا حَرَّمْنَا عَلَيْهِمْ طَيِّبَاتٍ أُحِلَّتْ لَهُمْ وَبِصَدِّهِمْ عَن سَبِيلِ اللَّٰهِ كَثِيرًا || fa bi ðˤu l min <space> m mi na <space> <wasl> l la ðii na <space> haa duu <space> ħa r ra m naa <space> ʕa la y hi m <space> tˤa y yi baa tin <space> ʔu ħi l la t <space> la hu m <space> wa bi sˤa d di hi m <space> ʕa n <space> sa bii li <space> <wasl> l laa hi <space> ka θii ran
وَأَخْذِهِمُ الرِّبَا وَقَدْ نُهُوا عَنْهُ وَأَكْلِهِمْ أَمْوَالَ النَّاسِ بِالْبَاطِلِ ۚ وَأَعْتَدْنَا لِلْكَافِرِينَ مِنْهُمْ عَذَابًا أَلِيمًا || wa ʔa x ði hi mu <space> <wasl> r ri baa <space> wa qa d <space> nu huu <space> ʕa n hu <space> wa ʔa k li hi m <space> ʔa m waa la <space> <wasl> n naa si <space> bi <wasl> l baa tˤi li <space> wa ʔa ʕ ta d naa <space> li <wasl> l kaa fi rii na <space> mi n hu m <space> ʕa ðaa ban <space> ʔa lii man
لَّـٰكِنِ الرَّاسِخُونَ فِي الْعِلْمِ مِنْهُمْ وَالْمُؤْمِنُونَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ ۚ وَالْمُقِيمِينَ الصَّلَاةَ ۚ وَالْمُؤْتُونَ الزَّكَاةَ وَالْمُؤْمِنُونَ بِاللَّٰهِ وَالْيَوْمِ الْآخِرِ أُولَـٰئِكَ سَنُؤْتِيهِمْ أَجْرًا عَظِيمًا || l laa ki ni <space> <wasl> r raa si xuu na <space> fii <space> <wasl> l ʕi l mi <space> mi n hu m <space> wa <wasl> l mu ʔ mi nuu na <space> yu ʔ mi nuu na <space> bi maa <space> ʔu n zi la <space> ʔi la y ka <space> wa maa <space> ʔu n zi la <space> mi n <space> qa b li ka <space> wa <wasl> l mu qii mii na <space> <wasl> sˤ sˤa laa Ta <space> wa <wasl> l mu ʔ tuu na <space> <wasl> z za kaa Ta <space> wa <wasl> l mu ʔ mi nuu na <space> bi <wasl> l laa hi <space> wa <wasl> l ya w mi <space> <wasl> l ʔaa xi ri <space> ʔuu laa ʔi ka <space> sa nu ʔ ti yii hi m <space> ʔa j ran <space> ʕa ðˤii man
إِنَّا أَوْحَيْنَا إِلَيْكَ كَمَا أَوْحَيْنَا إِلَىٰ نُوحٍ وَالنَّبِيِّينَ مِن بَعْدِهِ ۚ وَأَوْحَيْنَا إِلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ وَيَعْقُوبَ وَالْأَسْبَاطِ وَعِيسَىٰ وَأَيُّوبَ وَيُونُسَ وَهَارُونَ وَسُلَيْمَانَ ۚ وَآتَيْنَا دَاوُودَ زَبُورًا || ʔi n naa <space> ʔa w ħa y naa <space> ʔi la y ka <space> ka maa <space> ʔa w ħa y naa <space> ʔi laa <space> nuu ħin <space> wa <wasl> n na bi y yii na <space> mi n <space> ba ʕ di hii <space> wa ʔa w ħa y naa <space> ʔi laa <space> ʔi b raa hii ma <space> wa ʔi s maa ʕii la <space> wa ʔi s ħaa qa <space> wa ya ʕ quu ba <space> wa <wasl> l ʔa s baa tˤi <space> wa ʕii saa <space> wa ʔa y yuu ba <space> wa yuu nu sa <space> wa haa ruu na <space> wa su la y maa na <space> wa ʔaa ta y naa <space> daa wuu da <space> za buu ran
وَرُسُلًا قَدْ قَصَصْنَاهُمْ عَلَيْكَ مِن قَبْلُ وَرُسُلًا لَّمْ نَقْصُصْهُمْ عَلَيْكَ ۚ وَكَلَّمَ اللَّٰهُ مُوسَىٰ تَكْلِيمًا || wa ru su lan <space> qa d <space> qa sˤa sˤ naa hu m <space> ʕa la y ka <space> mi n <space> qa b lu <space> wa ru su lan <space> l la m <space> na q sˤu sˤ hu m <space> ʕa la y ka <space> wa ka l la ma <space> <wasl> l laa hu <space> muu saa <space> ta k li yii man
رُّسُلًا مُّبَشِّرِينَ وَمُنذِرِينَ لِئَلَّا يَكُونَ لِلنَّاسِ عَلَى اللَّٰهِ حُجَّةٌ بَعْدَ الرُّسُلِ ۚ وَكَانَ اللَّٰهُ عَزِيزًا حَكِيمًا || r ru su lan <space> m mu ba ʃ ʃi rii na <space> wa mu n ði rii na <space> li ʔa l laa <space> ya kuu na <space> li <wasl> n naa si <space> ʕa laa <space> <wasl> l laa hi <space> ħu j ja Tun <space> ba ʕ da <space> <wasl> r ru su li <space> wa kaa na <space> <wasl> l laa hu <space> ʕa zii zan <space> ħa kii man
لَّـٰكِنِ اللَّٰهُ يَشْهَدُ بِمَا أَنزَلَ إِلَيْكَ ۖ أَنزَلَهُ بِعِلْمِهِ ۖ وَالْمَلَائِكَةُ يَشْهَدُونَ ۚ وَكَفَىٰ بِاللَّٰهِ شَهِيدًا || l laa ki ni <space> <wasl> l laa hu <space> ya ʃ ha du <space> bi maa <space> ʔa n za la <space> ʔi la y ka <space> ʔa n za la huu <space> bi ʕi l mi hii <space> wa <wasl> l ma laa ʔi ka Tu <space> ya ʃ ha duu na <space> wa ka faa <space> bi <wasl> l laa hi <space> ʃa hii dan
إِنَّ الَّذِينَ كَفَرُوا وَصَدُّوا عَن سَبِيلِ اللَّٰهِ قَدْ ضَلُّوا ضَلَالًا بَعِيدًا || ʔi n na <space> <wasl> l la ðii na <space> ka fa ruu <space> wa sˤa d duu <space> ʕa n <space> sa bii li <space> <wasl> l laa hi <space> qa d <space> dˤa l luu <space> dˤa laa lan <space> ba ʕii dan
إِنَّ الَّذِينَ كَفَرُوا وَظَلَمُوا لَمْ يَكُنِ اللَّٰهُ لِيَغْفِرَ لَهُمْ وَلَا لِيَهْدِيَهُمْ طَرِيقًا || ʔi n na <space> <wasl> l la ðii na <space> ka fa ruu <space> wa ðˤa la muu <space> la m <space> ya ku ni <space> <wasl> l laa hu <space> li ya ɣ fi ra <space> la hu m <space> wa laa <space> li ya h di ya hu m <space> tˤa rii qan
إِلَّا طَرِيقَ جَهَنَّمَ خَالِدِينَ فِيهَا أَبَدًا ۚ وَكَانَ ذَٰلِكَ عَلَى اللَّٰهِ يَسِيرًا || ʔi l laa <space> tˤa rii qa <space> ja ha n na ma <space> xaa li dii na <space> fii haa <space> ʔa ba dan <space> wa kaa na <space> ðaa li ka <space> ʕa laa <space> <wasl> l laa hi <space> ya sii ran
يَا أَيُّهَا النَّاسُ قَدْ جَاءَكُمُ الرَّسُولُ بِالْحَقِّ مِن رَّبِّكُمْ فَآمِنُوا خَيْرًا لَّكُمْ ۚ وَإِن تَكْفُرُوا فَإِنَّ لِلَّهِ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ ۚ وَكَانَ اللَّٰهُ عَلِيمًا حَكِيمًا || yaa <space> ʔa y yu haa <space> <wasl> n naa su <space> qa d <space> jaa ʔa ku mu <space> <wasl> r ra suu lu <space> bi <wasl> l ħa q qi <space> mi n <space> r ra b bi ku m <space> fa ʔaa mi nuu <space> xa y ran <space> l la ku m <space> wa ʔi n <space> ta k fu ruu <space> fa ʔi n na <space> li l laa hi <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa <wasl> l ʔa r dˤi <space> wa kaa na <space> <wasl> l laa hu <space> ʕa lii man <space> ħa kii man
يَا أَهْلَ الْكِتَابِ لَا تَغْلُوا فِي دِينِكُمْ وَلَا تَقُولُوا عَلَى اللَّٰهِ إِلَّا الْحَقَّ ۚ إِنَّمَا الْمَسِيحُ عِيسَى ابْنُ مَرْيَمَ رَسُولُ اللَّٰهِ وَكَلِمَتُهُ أَلْقَاهَا إِلَىٰ مَرْيَمَ وَرُوحٌ مِّنْهُ ۖ فَآمِنُوا بِاللَّٰهِ وَرُسُلِهِ ۖ وَلَا تَقُولُوا ثَلَاثَةٌ ۚ انتَهُوا خَيْرًا لَّكُمْ ۚ إِنَّمَا اللَّٰهُ إِلَـٰهٌ وَاحِدٌ ۖ سُبْحَانَهُ أَن يَكُونَ لَهُ وَلَدٌ ۘ لَّهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ وَكَفَىٰ بِاللَّٰهِ وَكِيلًا || yaa <space> ʔa h la <space> <wasl> l ki taa bi <space> laa <space> ta ɣ luu <space> fii <space> dii ni ku m <space> wa laa <space> ta quu luu <space> ʕa laa <space> <wasl> l laa hi <space> ʔi l laa <space> <wasl> l ħa q qa <space> ʔi n na maa <space> <wasl> l ma sii ħu <space> ʕii saa <space> <wasl> b nu <space> ma r ya ma <space> ra suu lu <space> <wasl> l laa hi <space> wa ka li ma tu huu <space> ʔa l qaa haa <space> ʔi laa <space> ma r ya ma <space> wa ruu ħun <space> m mi n hu <space> fa ʔaa mi nuu <space> bi <wasl> l laa hi <space> wa ru su li hii <space> wa laa <space> ta quu luu <space> θa laa θa Tun <space> <wasl> n ta huu <space> xa y ran <space> l la ku m <space> ʔi n na maa <space> <wasl> l laa hu <space> ʔi laa hun <space> waa ħi dun <space> su b ħaa na huu <space> ʔa n <space> ya kuu na <space> la huu <space> wa la dun <space> l la huu <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa maa <space> fii <space> <wasl> l ʔa r dˤi <space> wa ka faa <space> bi <wasl> l laa hi <space> wa kii lan
لَّن يَسْتَنكِفَ الْمَسِيحُ أَن يَكُونَ عَبْدًا لِّلَّهِ وَلَا الْمَلَائِكَةُ الْمُقَرَّبُونَ ۚ وَمَن يَسْتَنكِفْ عَنْ عِبَادَتِهِ وَيَسْتَكْبِرْ فَسَيَحْشُرُهُمْ إِلَيْهِ جَمِيعًا || l la n <space> ya s ta n ki fa <space> <wasl> l ma sii ħu <space> ʔa n <space> ya kuu na <space> ʕa b dan <space> l li l laa hi <space> wa laa <space> <wasl> l ma laa ʔi ka Tu <space> <wasl> l mu qa r ra buu na <space> wa ma n <space> ya s ta n ki f <space> ʕa n <space> ʕi baa da ti hii <space> wa ya s ta k bi r <space> fa sa ya ħ ʃu ru hu m <space> ʔi la y hi <space> ja mii ʕan
فَأَمَّا الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ فَيُوَفِّيهِمْ أُجُورَهُمْ وَيَزِيدُهُم مِّن فَضْلِهِ ۖ وَأَمَّا الَّذِينَ اسْتَنكَفُوا وَاسْتَكْبَرُوا فَيُعَذِّبُهُمْ عَذَابًا أَلِيمًا وَلَا يَجِدُونَ لَهُم مِّن دُونِ اللَّٰهِ وَلِيًّا وَلَا نَصِيرًا || fa ʔa m maa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> wa ʕa mi luu <space> <wasl> sˤ sˤaa li ħaa ti <space> fa yu wa f fii hi m <space> ʔu juu ra hu m <space> wa ya zii du hu m <space> m mi n <space> fa dˤ li hii <space> wa ʔa m maa <space> <wasl> l la ðii na <space> <wasl> s ta n ka fuu <space> wa <wasl> s ta k ba ruu <space> fa yu ʕa ð ði bu hu m <space> ʕa ðaa ban <space> ʔa lii man <space> wa laa <space> ya ji duu na <space> la hu m <space> m mi n <space> duu ni <space> <wasl> l laa hi <space> wa li y yan <space> wa laa <space> na sˤii ran
يَا أَيُّهَا النَّاسُ قَدْ جَاءَكُم بُرْهَانٌ مِّن رَّبِّكُمْ وَأَنزَلْنَا إِلَيْكُمْ نُورًا مُّبِينًا || yaa <space> ʔa y yu haa <space> <wasl> n naa su <space> qa d <space> jaa ʔa ku m <space> bu r haa nun <space> m mi n <space> r ra b bi ku m <space> wa ʔa n za l naa <space> ʔi la y ku m <space> nuu ran <space> m mu bii nan
فَأَمَّا الَّذِينَ آمَنُوا بِاللَّٰهِ وَاعْتَصَمُوا بِهِ فَسَيُدْخِلُهُمْ فِي رَحْمَةٍ مِّنْهُ وَفَضْلٍ وَيَهْدِيهِمْ إِلَيْهِ صِرَاطًا مُّسْتَقِيمًا || fa ʔa m maa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> bi <wasl> l laa hi <space> wa <wasl> ʕ ta sˤa muu <space> bi hii <space> fa sa yu d xi lu hu m <space> fii <space> ra ħ ma Tin <space> m mi n hu <space> wa fa dˤ lin <space> wa ya h di yii hi m <space> ʔi la y hi <space> sˤi raa tˤan <space> m mu s ta qii man
يَسْتَفْتُونَكَ قُلِ اللَّٰهُ يُفْتِيكُمْ فِي الْكَلَالَةِ ۚ إِنِ امْرُؤٌ هَلَكَ لَيْسَ لَهُ وَلَدٌ وَلَهُ أُخْتٌ فَلَهَا نِصْفُ مَا تَرَكَ ۚ وَهُوَ يَرِثُهَا إِن لَّمْ يَكُن لَّهَا وَلَدٌ ۚ فَإِن كَانَتَا اثْنَتَيْنِ فَلَهُمَا الثُّلُثَانِ مِمَّا تَرَكَ ۚ وَإِن كَانُوا إِخْوَةً رِّجَالًا وَنِسَاءً فَلِلذَّكَرِ مِثْلُ حَظِّ الْأُنثَيَيْنِ ۗ يُبَيِّنُ اللَّٰهُ لَكُمْ أَن تَضِلُّوا ۗ وَاللَّٰهُ بِكُلِّ شَيْءٍ عَلِيمٌ || ya s ta f tuu na ka <space> qu li <space> <wasl> l laa hu <space> yu f ti yii ku m <space> fii <space> <wasl> l ka laa la Ti <space> ʔi ni <space> <wasl> m ru ʔun <space> ha la ka <space> la y sa <space> la huu <space> wa la dun <space> wa la huu <space> ʔu x tun <space> fa la haa <space> ni sˤ fu <space> maa <space> ta ra ka <space> wa hu wa <space> ya ri θu haa <space> ʔi n <space> l la m <space> ya ku n <space> l la haa <space> wa la dun <space> fa ʔi n <space> kaa na taa <space> <wasl> θ na ta y ni <space> fa la hu maa <space> <wasl> θ θu lu θaa ni <space> mi m maa <space> ta ra ka <space> wa ʔi n <space> kaa nuu <space> ʔi x wa Tan <space> r ri jaa lan <space> wa ni saa ʔan <space> fa li <wasl> ð ða ka ri <space> mi θ lu <space> ħa ðˤ ðˤi <space> <wasl> l ʔu n θa ya y ni <space> yu ba y yi nu <space> <wasl> l laa hu <space> la ku m <space> ʔa n <space> ta dˤi l luu <space> wa <wasl> l laa hu <space> bi ku l li <space> ʃa y ʔin <space> ʕa lii mun
بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ يَا أَيُّهَا الَّذِينَ آمَنُوا أَوْفُوا بِالْعُقُودِ ۚ أُحِلَّتْ لَكُم بَهِيمَةُ الْأَنْعَامِ إِلَّا مَا يُتْلَىٰ عَلَيْكُمْ غَيْرَ مُحِلِّي الصَّيْدِ وَأَنتُمْ حُرُمٌ ۗ إِنَّ اللَّٰهَ يَحْكُمُ مَا يُرِيدُ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi <space> yaa <space> ʔa y yu haa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> ʔa w fuu <space> bi <wasl> l ʕu quu di <space> ʔu ħi l la t <space> la ku m <space> ba hii ma Tu <space> <wasl> l ʔa n ʕaa mi <space> ʔi l laa <space> maa <space> yu t laa <space> ʕa la y ku m <space> ɣa y ra <space> mu ħi l lii <space> <wasl> sˤ sˤa y di <space> wa ʔa n tu m <space> ħu ru mun <space> ʔi n na <space> <wasl> l laa ha <space> ya ħ ku mu <space> maa <space> yu rii du
يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تُحِلُّوا شَعَائِرَ اللَّٰهِ وَلَا الشَّهْرَ الْحَرَامَ وَلَا الْهَدْيَ وَلَا الْقَلَائِدَ وَلَا آمِّينَ الْبَيْتَ الْحَرَامَ يَبْتَغُونَ فَضْلًا مِّن رَّبِّهِمْ وَرِضْوَانًا ۚ وَإِذَا حَلَلْتُمْ فَاصْطَادُوا ۚ وَلَا يَجْرِمَنَّكُمْ شَنَآنُ قَوْمٍ أَن صَدُّوكُمْ عَنِ الْمَسْجِدِ الْحَرَامِ أَن تَعْتَدُوا ۘ وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَىٰ ۖ وَلَا تَعَاوَنُوا عَلَى الْإِثْمِ وَالْعُدْوَانِ ۚ وَاتَّقُوا اللَّٰهَ ۖ إِنَّ اللَّٰهَ شَدِيدُ الْعِقَابِ || yaa <space> ʔa y yu haa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> laa <space> tu ħi l luu <space> ʃa ʕaa ʔi ra <space> <wasl> l laa hi <space> wa laa <space> <wasl> ʃ ʃa h ra <space> <wasl> l ħa raa ma <space> wa laa <space> <wasl> l ha d ya <space> wa laa <space> <wasl> l qa laa ʔi da <space> wa laa <space> ʔaa m mii na <space> <wasl> l ba y ta <space> <wasl> l ħa raa ma <space> ya b ta ɣuu na <space> fa dˤ lan <space> m mi n <space> r ra b bi hi m <space> wa ri dˤ waa nan <space> wa ʔi ðaa <space> ħa la <wasl> l tu m <space> fa <wasl> sˤ tˤaa duu <space> wa laa <space> ya j ri ma n na ku m <space> ʃa na ʔaa nu <space> qa w min <space> ʔa n <space> sˤa d duu ku m <space> ʕa ni <space> <wasl> l ma s ji di <space> <wasl> l ħa raa mi <space> ʔa n <space> ta ʕ ta duu <space> wa ta ʕaa wa nuu <space> ʕa laa <space> <wasl> l bi r ri <space> wa <wasl> t ta q waa <space> wa laa <space> ta ʕaa wa nuu <space> ʕa laa <space> <wasl> l ʔi θ mi <space> wa <wasl> l ʕu d waa ni <space> wa <wasl> t ta quu <space> <wasl> l laa ha <space> ʔi n na <space> <wasl> l laa ha <space> ʃa dii du <space> <wasl> l ʕi qaa bi
